row,col,longitude,latitude,slope_deg,july_tmax_c,ndvi
0,0,-115.178,30.822,1.404,37.37,-0.02473225860489048
0,1,-115.134,30.822,0.381,37.37,-0.025274423418913013
0,2,-115.09,30.822,3.317,37.37,-0.03249337852525635
0,3,-115.046,30.822,9.955,37.37,-0.03670740862302912
0,4,-115.002,30.822,8.391,37.37,-0.043233679923747735
0,5,-114.958,30.822,1.689,37.37,-0.046431414802755464
0,6,-114.914,30.822,2.517,37.37,-0.04104108187471435
0,7,-114.87,30.822,1.368,37.37,-0.036223173155622575
0,8,-114.826,30.822,0.906,37.37,-0.02690599946074267
0,9,-114.782,30.822,0.668,37.37,-0.030066851189961805
0,10,-114.738,30.822,0.453,37.37,-0.0294532440330406
0,11,-114.694,30.822,0.125,37.37,-0.021686690432220206
0,12,-114.65,30.822,,37.37,-0.023356820321146957
0,13,-114.606,30.822,,37.37,-0.023577217231669407
0,14,-114.562,30.822,,37.37,-0.026921153800264844
0,15,-114.518,30.822,,37.37,-0.033375897613710695
0,16,-114.474,30.822,,37.37,-0.03761520558243193
0,17,-114.43,30.822,,37.37,-0.04464732107289719
0,18,-114.386,30.822,,37.37,-0.04663441431644819
0,19,-114.342,30.822,,37.37,-0.03970279570638475
0,20,-114.298,30.822,,37.37,-0.03424268367644863
0,21,-114.254,30.822,,37.37,-0.02690241321387511
0,22,-114.21,30.822,,37.37,-0.03039538652005366
0,23,-114.166,30.822,,37.37,-0.027935235815835725
0,24,-114.122,30.822,,37.37,-0.021157874312549937
0,25,-114.078,30.822,,37.37,-0.023855901595659593
0,26,-114.034,30.822,,37.37,-0.02331336853263373
0,27,-113.99,30.822,,37.37,-0.029124728335049956
0,28,-113.946,30.822,,37.37,-0.034572069023741735
0,29,-113.902,30.822,,37.37,-0.03889324556522382
0,30,-113.858,30.822,,37.37,-0.04528324410245767
0,31,-113.814,30.822,,37.37,-0.04536874216341591
0,32,-113.77,30.822,,37.37,-0.03846409570203723
0,33,-113.726,30.822,,37.37,-0.03206307945662754
0,34,-113.682,30.822,,37.37,-0.02813455551682442
0,35,-113.638,30.822,,37.37,-0.03031821688785677
0,36,-113.594,30.822,,37.37,-0.025725895664078992
0,37,-113.55,30.822,,37.37,-0.02170921211978377
0,38,-113.506,30.822,,37.37,-0.024402422723128234
0,39,-113.462,30.822,,37.37,-0.023081053733197913
0,40,-113.418,30.822,,37.37,-0.03075326785105418
0,41,-113.374,30.822,,37.37,-0.0357399225145271
0,42,-113.33,30.822,0.0,37.37,-0.040505577272149866
0,43,-113.286,30.822,0.0,37.37,-0.04567387116402382
0,44,-113.242,30.822,0.0,37.37,-0.04432251700699061
0,45,-113.198,30.822,0.0,37.37,-0.03746253723801973
0,46,-113.154,30.822,0.0,37.37,-0.02999728346549332
0,47,-113.11,30.822,0.218,37.37,-0.028572036543409306
0,48,-113.066,30.822,0.087,37.37,-0.03075447296259091
0,49,-113.022,30.822,0.108,37.37,-0.023735619521715018
0,50,-112.978,30.822,0.378,37.37,-0.022212615721775197
0,51,-112.934,30.822,0.883,37.37,-0.024621978043217176
0,52,-112.89,30.822,0.151,37.37,-0.023928391622762467
0,53,-112.846,30.822,0.181,37.37,-0.03173840262208541
0,54,-112.802,30.822,0.141,37.37,-0.03609516892418704
0,55,-112.758,30.822,0.2,37.37,-0.042467754457502734
0,56,-112.714,30.822,0.218,37.37,-0.046202917046583816
0,57,-112.67,30.822,0.241,37.37,-0.0421439296682831
0,58,-112.626,30.822,0.327,37.37,-0.036852987439728924
0,59,-112.582,30.822,0.393,37.37,-0.028310854219951626
0,60,-112.538,30.822,0.443,37.37,-0.02915958923041068
0,61,-112.494,30.822,0.435,37.37,-0.030841736179393897
0,62,-112.45,30.822,0.443,37.37,-0.02237323343274673
0,63,-112.406,30.822,0.384,37.37,-0.022741807128171976
0,64,-112.362,30.822,0.523,37.37,-0.02473225860489048
0,65,-112.318,30.822,1.089,37.37,-0.025274423418913013
0,66,-112.274,30.822,0.952,37.37,-0.03249337852525635
0,67,-112.23,30.822,1.03,37.37,-0.03670740862302912
0,68,-112.186,30.822,0.709,37.37,-0.043233679923747735
0,69,-112.142,30.822,0.736,37.37,-0.046431414802755464
0,70,-112.098,30.822,1.137,37.37,-0.04104108187471435
0,71,-112.054,30.822,1.473,37.37,-0.036223173155622575
0,72,-112.01,30.822,2.235,37.37,-0.02690599946074267
0,73,-111.966,30.822,6.212,37.37,-0.030066851189961805
0,74,-111.922,30.822,5.334,37.37,-0.0294532440330406
0,75,-111.878,30.822,3.906,37.37,-0.021686690432220206
0,76,-111.834,30.822,0.684,37.37,-0.023356820321146957
0,77,-111.79,30.822,1.172,37.37,-0.02331505423870713
0,78,-111.746,30.822,2.634,37.37,-0.028010816211936948
0,79,-111.702,30.822,1.182,37.37,-0.034025183819096576
0,80,-111.658,30.822,0.784,37.37,-0.03820247765090492
0,81,-111.614,30.822,1.037,37.37,-0.04513541126839108
0,82,-111.57,30.822,1.372,37.37,-0.04592830905655978
0,83,-111.526,30.822,4.402,37.37,-0.039024310382250064
0,84,-111.482,30.822,3.27,37.37,-0.03316245628288895
0,85,-111.438,30.822,0.649,37.37,-0.027479419815267657
0,86,-111.394,30.822,0.852,37.37,-0.03039891115075713
0,87,-111.35,30.822,0.815,37.37,-0.026895706522049576
0,88,-111.306,30.822,2.42,37.37,-0.021280432100522377
0,89,-111.262,30.822,1.438,37.37,-0.024285144947011093
0,90,-111.218,30.822,0.737,37.37,-0.023002163904014213
0,91,-111.174,30.822,0.446,37.37,-0.030067274426272318
0,92,-111.13,30.822,0.569,37.37,-0.035327857430916806
0,93,-111.086,30.822,1.285,37.37,-0.03954884559477955
0,94,-111.042,30.822,9.367,37.37,-0.04558287454910251
0,95,-110.998,30.822,9.335,37.37,-0.04469184690576489
0,96,-110.954,30.822,7.856,37.37,-0.03812475440295168
0,97,-110.91,30.822,2.769,37.37,-0.0309432649775018
0,98,-110.866,30.822,1.446,37.37,-0.02841979165184237
0,99,-110.822,30.822,1.275,37.37,-0.030379203229512385
0,100,-110.778,30.822,2.697,37.37,-0.02470919160097832
0,101,-110.734,30.822,5.892,37.37,-0.02203861856247677
0,102,-110.69,30.822,3.866,37.37,-0.024437355805984405
0,103,-110.646,30.822,3.206,37.37,-0.023470931622472095
0,104,-110.602,30.822,8.045,37.37,-0.03132623095485157
0,105,-110.558,30.822,10.612,37.37,-0.03585652848430904
0,106,-110.514,30.822,8.686,37.37,-0.04146936117863892
